"","id","age","gender","test","comment","order","question_order","pref","dispref","label","unlabel","question","speaker","Age_Binned","speaker_bin","Trial"
"79","RP-0206","8","boy",NA,"the orange person knows more about animals","4","pref","tiger","zebra","cows","pigs","know_label","Fluent","8-9",1,"Trial 2"
"80","RP-0206","8","boy",NA,"the orange person knows more about animals","4","pref","tiger","zebra","cows","pigs","soccer","Fluent","8-9",1,"Trial 2"
"81","RP-0206","8","boy",NA,"the orange person knows more about animals","4","pref","tiger","zebra","cows","pigs","know_unlabel","Fluent","8-9",1,"Trial 2"
"82","RP-0186","4","boy",NA,"no idea","4","dispref","tiger","zebra","cows","pigs","pref","Disfluent","4-5",0,"Trial 1"
"83","RP-0186","4","boy",NA,"no idea","4","dispref","tiger","zebra","cows","pigs","basketball","Disfluent","4-5",0,"Trial 1"
"84","RP-0186","4","boy",NA,"no idea","4","dispref","tiger","zebra","cows","pigs","dispref","Fluent","4-5",1,"Trial 1"
"85","RP-0186","4","boy",NA,"no idea","4","dispref","tiger","zebra","cows","pigs","know_label","Disfluent","4-5",0,"Trial 2"
"86","RP-0186","4","boy",NA,"no idea","4","dispref","tiger","zebra","cows","pigs","soccer","Disfluent","4-5",0,"Trial 2"
"87","RP-0186","4","boy",NA,"no idea","4","dispref","tiger","zebra","cows","pigs","know_unlabel","Disfluent","4-5",0,"Trial 2"
"88","RP-0199","7","boy",NA,"The yellow person knows more about pigs because the orange person said um. I don't know why the other person knows more about cows.","3","pref","zebra","tiger","pigs","cows","pref","Fluent","6-7",1,"Trial 1"
"89","RP-0199","7","boy",NA,"The yellow person knows more about pigs because the orange person said um. I don't know why the other person knows more about cows.","3","pref","zebra","tiger","pigs","cows","basketball","Disfluent","6-7",0,"Trial 1"
"90","RP-0199","7","boy",NA,"The yellow person knows more about pigs because the orange person said um. I don't know why the other person knows more about cows.","3","pref","zebra","tiger","pigs","cows","dispref","Disfluent","6-7",0,"Trial 1"
"91","RP-0199","7","boy",NA,"The yellow person knows more about pigs because the orange person said um. I don't know why the other person knows more about cows.","3","pref","zebra","tiger","pigs","cows","know_label","Fluent","6-7",1,"Trial 2"
"92","RP-0199","7","boy",NA,"The yellow person knows more about pigs because the orange person said um. I don't know why the other person knows more about cows.","3","pref","zebra","tiger","pigs","cows","soccer","Disfluent","6-7",0,"Trial 2"
"93","RP-0199","7","boy",NA,"The yellow person knows more about pigs because the orange person said um. I don't know why the other person knows more about cows.","3","pref","zebra","tiger","pigs","cows","know_unlabel","Disfluent","6-7",0,"Trial 2"
"94","11235","6","girl",NA,"Because she said uh but the person wasn't","3","pref","zebra","tiger","pigs","cows","pref","Fluent","6-7",1,"Trial 1"
"95","11235","6","girl",NA,"Because she said uh but the person wasn't","3","pref","zebra","tiger","pigs","cows","basketball","Disfluent","6-7",0,"Trial 1"
"96","11235","6","girl",NA,"Because she said uh but the person wasn't","3","pref","zebra","tiger","pigs","cows","dispref","Disfluent","6-7",0,"Trial 1"
"97","11235","6","girl",NA,"Because she said uh but the person wasn't","3","pref","zebra","tiger","pigs","cows","know_label","Fluent","6-7",1,"Trial 2"
"98","11235","6","girl",NA,"Because she said uh but the person wasn't","3","pref","zebra","tiger","pigs","cows","soccer","Disfluent","6-7",0,"Trial 2"
"99","11235","6","girl",NA,"Because she said uh but the person wasn't","3","pref","zebra","tiger","pigs","cows","know_unlabel","Disfluent","6-7",0,"Trial 2"
"100","11234","8","girl",NA,"She didnt hesitate so knows about pigs and cows","2","pref","zebra","tiger","pigs","cows","pref","Fluent","8-9",1,"Trial 1"
"101","11234","8","girl",NA,"She didnt hesitate so knows about pigs and cows","2","pref","zebra","tiger","pigs","cows","basketball","Fluent","8-9",1,"Trial 1"
"102","11234","8","girl",NA,"She didnt hesitate so knows about pigs and cows","2","pref","zebra","tiger","pigs","cows","dispref","Disfluent","8-9",0,"Trial 1"
"103","11234","8","girl",NA,"She didnt hesitate so knows about pigs and cows","2","pref","zebra","tiger","pigs","cows","know_label","Fluent","8-9",1,"Trial 2"
"104","11234","8","girl",NA,"She didnt hesitate so knows about pigs and cows","2","pref","zebra","tiger","pigs","cows","soccer","Disfluent","8-9",0,"Trial 2"
"105","11234","8","girl",NA,"She didnt hesitate so knows about pigs and cows","2","pref","zebra","tiger","pigs","cows","know_unlabel","Fluent","8-9",1,"Trial 2"
"106","RP-0204","8","boy",NA,"Because the other person didn't know much about the cow because she was saying um and the yellow person just said cow","1","dispref","tiger","zebra","cows","pigs","pref","Fluent","8-9",1,"Trial 1"
"107","RP-0204","8","boy",NA,"Because the other person didn't know much about the cow because she was saying um and the yellow person just said cow","1","dispref","tiger","zebra","cows","pigs","basketball","Fluent","8-9",1,"Trial 1"
"108","RP-0204","8","boy",NA,"Because the other person didn't know much about the cow because she was saying um and the yellow person just said cow","1","dispref","tiger","zebra","cows","pigs","dispref","Disfluent","8-9",0,"Trial 1"
"109","RP-0204","8","boy",NA,"Because the other person didn't know much about the cow because she was saying um and the yellow person just said cow","1","dispref","tiger","zebra","cows","pigs","know_label","Fluent","8-9",1,"Trial 2"
"110","RP-0204","8","boy",NA,"Because the other person didn't know much about the cow because she was saying um and the yellow person just said cow","1","dispref","tiger","zebra","cows","pigs","soccer","Disfluent","8-9",0,"Trial 2"
"111","RP-0204","8","boy",NA,"Because the other person didn't know much about the cow because she was saying um and the yellow person just said cow","1","dispref","tiger","zebra","cows","pigs","know_unlabel","Disfluent","8-9",0,"Trial 2"
"112","10951","5","boy",NA,"Because she knew the pig better than the yellow person","1","pref","tiger","zebra","cows","pigs","pref","Disfluent","4-5",0,"Trial 1"
"113","10951","5","boy",NA,"Because she knew the pig better than the yellow person","1","pref","tiger","zebra","cows","pigs","basketball","Fluent","4-5",1,"Trial 1"
"114","10951","5","boy",NA,"Because she knew the pig better than the yellow person","1","pref","tiger","zebra","cows","pigs","dispref","Disfluent","4-5",0,"Trial 1"
"115","10951","5","boy",NA,"Because she knew the pig better than the yellow person","1","pref","tiger","zebra","cows","pigs","know_label","Fluent","4-5",1,"Trial 2"
"116","10951","5","boy",NA,"Because she knew the pig better than the yellow person","1","pref","tiger","zebra","cows","pigs","soccer","Disfluent","4-5",0,"Trial 2"
"117","10951","5","boy",NA,"Because she knew the pig better than the yellow person","1","pref","tiger","zebra","cows","pigs","know_unlabel","Disfluent","4-5",0,"Trial 2"
"118","5280","8","girl",NA,"I think the yellow person knows more about pigs because the orange person said umm but the yellow person said pig right away","3","dispref","zebra","tiger","pigs","cows","pref","Fluent","8-9",1,"Trial 1"
